sentence_id,nodes,edges,tree_height,leaf_nodes,branching_factor,avg_dependency_distance,sentence,length,flesch_reading_ease,flesch_kincaid_grade
1,12,11,3,7,0.9166666666666666,0,"3 (three) is a number, numeral and digit.",8,71.81500000000001,5.230000000000004
2,18,21,3,13,1.1666666666666667,0,"It is the natural number following 2 and preceding 4, and is the smallest odd prime number and the only prime preceding a square number.",25,52.86800000000002,12.096
3,10,9,3,5,0.9,0,It has religious and cultural significance in many societies.,9,9.700000000000015,14.142222222222228
4,22,22,6,14,1.0,0,"That was also the original representation of 3 in the Brahmic (Indian) numerical notation, its earliest forms aligned vertically.",19,9.4447368421053,16.662105263157894
5,18,19,7,8,1.0555555555555556,0,"However, during the Gupta Empire, the sign was modified by the addition of a curve on each line.",18,56.965,9.785555555555558
8,11,11,3,5,1.0,0,The Indian digits spread to the Caliphate in the 9th century.,11,72.61545454545457,5.863636363636363
10,24,27,4,12,1.125,0,"In most modern Western typefaces, the digit 3, like the other decimal digits, has the height of a capital letter, and sits on the baseline.",25,52.86800000000002,12.096
11,24,27,5,12,1.125,0,"In typefaces with text figures, on the other hand, the glyph usually has the height of a lowercase letter ""x"" and a descender: """".",24,54.75086956521741,11.336521739130436
12,18,17,4,11,0.9444444444444444,0,"In some French text-figure typefaces, though, it has an ascender instead of a descender.",14,59.68214285714288,8.412857142857145
14,19,20,6,9,1.0526315789473684,0,"This form, sometimes called a banker's 3, can stop a forger from turning the 3 into an 8.",18,80.46500000000002,6.507777777777779
15,14,14,5,8,1.0,0,It is found on UPC-A barcodes and standard 52-card decks.,10,78.24500000000002,4.830000000000002
16,9,8,5,4,0.8888888888888888,0,This known as the divisibility rule of 3.,8,61.24000000000001,6.705000000000002
17,22,26,0,12,1.181818181818182,0,"Because of this, the reverse of any number that is divisible by three (or indeed, any permutation of its digits) is also divisible by three.",25,39.33200000000002,13.984000000000002
18,28,28,6,17,1.0,0,"This divisibility rule works in any positional numeral system whose base divided by three leaves a remainder of one (bases 4, 7, 10, etc.).",24,27.37500000000003,15.403333333333332
19,13,13,2,9,1.0,0,=== Properties === 3 is the second smallest prime number and the first odd prime number.,16,71.76785714285715,6.727142857142859
20,12,13,3,8,1.0833333333333333,0,"It is a twin prime with 5, and a cousin prime with 7.",13,102.53230769230773,2.187692307692309
21,8,7,3,4,0.875,0,A triangle is made of three sides.,7,90.95857142857145,2.3114285714285714
22,17,17,3,12,1.0,0,It is the smallest non-self-intersecting polygon and the only polygon not to have proper diagonals.,15,28.05000000000001,13.073333333333338
23,11,10,5,6,0.9090909090909092,0,It is also the first of five known Fermat primes.,10,95.165,2.4700000000000024
24,15,15,3,12,1.0,0,"It is the second Fibonacci prime (and the second Lucas prime), the second Sophie Germain prime, and the second factorial prime.",21,48.54857142857145,11.704761904761906
25,13,13,0,7,1.0,0,Three is the only prime which is one less than a perfect square.,13,96.02461538461542,3.0953846153846136
26,26,25,5,17,0.9615384615384616,0,"This is true for 3 as well (with n {\displaystyle n} = 2), but in this case the smaller factor is 1.",22,88.83428571428574,6.085714285714285
27,26,27,6,15,1.0384615384615383,0,"Early peoples had a word to describe the quantities of one, two, and three, but any quantity beyond was simply denoted as ""Many"".",23,51.07260869565218,11.849565217391303
28,23,25,5,10,1.0869565217391304,0,"=== List of basic calculations === == Engineering == The triangle, a polygon with three edges and three vertices, is the most stable physical shape.",25,36.46285714285716,13.390476190476187
29,14,13,4,8,0.9285714285714286,0,"For this reason it is widely utilized in construction, engineering and design.",12,39.55500000000001,10.723333333333333
30,20,21,6,12,1.05,0,"=== Mystical === Three is the symbolic representation for Mu, Augustus Le Plongeon's and James Churchward's lost continent.",18,31.97,12.775000000000002
31,24,26,5,14,1.0833333333333333,0,"== Religion and beliefs == Many world religions contain triple deities or concepts of trinity, including the Hindu Trimurti and Tridevi, the Triglav (lit.",24,30.686818181818182,14.44454545454546
32,27,28,8,13,1.037037037037037,0,"The phrase ""Third time's the charm"" refers to the superstition that after two failures in any endeavor, a third attempt is more likely to succeed.",25,56.25200000000002,11.624000000000002
33,21,22,5,12,1.0476190476190477,0,"However, some superstitions say the opposite, stating that luck, especially bad luck, is often said to ""come in threes"".",19,53.97105263157897,10.451578947368422
35,10,10,3,4,1.0,0,Archived from the original on 2013-05-14.,6,73.84500000000001,4.450000000000003
36,8,10,2,5,1.25,0,The Number 3 The Positive Integer 3 Prime curiosities: 3,10,35.94500000000002,10.73
37,25,25,7,13,1.0,0,"A river may run dry before reaching the end of its course if it runs out of water, or only flow during certain seasons.",24,69.67500000000004,9.503333333333334
38,14,17,6,7,1.2142857142857142,0,"Rivers are regulated by the water cycle, the processes by which water moves around the Earth.",16,53.120000000000005,9.825
39,23,24,7,12,1.0434782608695652,0,"Rivers flow in channeled watercourses and merge in confluences to form drainage basins, areas where surface water eventually flows to a common outlet.",23,29.003043478260903,14.927826086956523
40,11,10,5,6,0.9090909090909092,0,Rivers have a great effect on the landscape around them.,10,78.24500000000002,4.830000000000002
41,16,16,3,10,1.0,0,"They may regularly overflow their banks and flood the surrounding area, spreading nutrients to the surrounding area.",17,25.35647058823531,13.945882352941176
42,21,21,4,12,1.0,0,"Sediment or alluvium carried by rivers shapes the landscape around it, forming deltas and islands where the flow slows down.",20,51.17500000000004,11.090000000000003
43,24,24,5,15,1.0,0,"Rivers rarely run in a straight line, instead, they bend or meander; the locations of a river's banks can change frequently.",21,60.63428571428573,10.019047619047624
44,15,14,6,8,0.9333333333333332,0,"Rivers get their alluvium from erosion, which carves rock into canyons and valleys.",13,50.470769230769264,9.44923076923077
45,15,15,3,9,1.0,0,"Rivers have sustained human and animal life for millennia, including the first human civilizations.",14,17.382142857142867,14.312857142857148
46,26,28,9,13,1.0769230769230769,0,"The organisms that live around or in a river such as fish, aquatic plants, and insects have different roles, including processing organic matter and predation.",25,32.56400000000002,14.928
47,16,18,8,8,1.125,0,"Rivers have produced abundant resources for humans, including food, transportation, drinking water, and recreation.",14,5.296428571428578,15.99857142857143
48,21,22,3,12,1.0476190476190477,0,"Humans have engineered rivers to prevent flooding, irrigate crops, perform work with water wheels, and produce hydroelectricity from dams.",19,31.70789473684212,13.556842105263158
49,18,21,5,9,1.1666666666666667,0,"People associate rivers with life and fertility and have strong religious, political, social, and mythological attachments to them.",18,9.965000000000003,16.34111111111111
50,15,16,5,8,1.0666666666666669,0,"Rivers and river ecosystems are threatened by water pollution, climate change, and human activity.",14,23.42500000000001,13.470000000000002
51,17,16,5,7,0.9411764705882352,0,Decreased snowfall from climate change has resulted in less water available for rivers during the summer.,16,42.545000000000016,11.3
52,19,20,6,9,1.0526315789473684,0,"Regulation of pollution, dam removal, and sewage treatment have helped to improve water quality and restore river habitats.",18,24.065,14.374444444444446
53,14,14,5,8,1.0,0,"This flow can be into a lake, an ocean, or another river.",12,74.805,5.806666666666668
54,18,20,6,9,1.1111111111111112,0,"A stream refers to water that flows in a natural channel, a geographic feature that can contain flowing water.",19,49.5184210526316,11.07263157894737
55,11,10,3,7,0.9090909090909092,0,A stream may also be referred to as a watercourse.,10,78.24500000000002,4.830000000000002
