id,sentence,source,length,simplified_sentence
1,"3 (three) is a number, numeral and digit.",Tree,8,3 three is a number and digit
2,"It is the natural number following 2 and preceding 4, and is the smallest odd prime number and the only prime preceding a square number.",Tree,25,It is the number following 2 and preceding 4 and is the number and the prime preceding a number
3,It has religious and cultural significance in many societies.,Tree,9,It has and cultural significance in societies
4,"That was also the original representation of 3 in the Brahmic (Indian) numerical notation, its earliest forms aligned vertically.",Tree,19,That was the representation of 3 in the Brahmic numerical notation its forms aligned
5,"However, during the Gupta Empire, the sign was modified by the addition of a curve on each line.",Tree,18,during the Gupta Empire the sign was modified by the addition of a curve on each line
8,The Indian digits spread to the Caliphate in the 9th century.,Tree,11,The digits spread to the Caliphate in the century
10,"In most modern Western typefaces, the digit 3, like the other decimal digits, has the height of a capital letter, and sits on the baseline.",Tree,25,In typefaces the digit 3 like the digits has the height of a capital letter and sits on the baseline
11,"In typefaces with text figures, on the other hand, the glyph usually has the height of a lowercase letter ""x"" and a descender: """".",Tree,24,In typefaces with text figures on the hand the glyph has the height of a lowercase letter x and a descender
12,"In some French text-figure typefaces, though, it has an ascender instead of a descender.",Tree,14,In some text figure typefaces it has an ascender of a descender
14,"This form, sometimes called a banker's 3, can stop a forger from turning the 3 into an 8.",Tree,18,This form called a banker 's 3 can stop a forger from turning the 3 into an 8
15,It is found on UPC-A barcodes and standard 52-card decks.,Tree,10,It is found on UPC A barcodes and 52 card decks
16,This known as the divisibility rule of 3.,Tree,8,This known as the divisibility rule of 3
17,"Because of this, the reverse of any number that is divisible by three (or indeed, any permutation of its digits) is also divisible by three.",Tree,25,Because of this the reverse of any number that is divisible by three or indeed any permutation of its digits is divisible by three
18,"This divisibility rule works in any positional numeral system whose base divided by three leaves a remainder of one (bases 4, 7, 10, etc.).",Tree,24,This divisibility rule works in any system whose base divided by three leaves a remainder of one bases 4 7 10 etc .
19,=== Properties === 3 is the second smallest prime number and the first odd prime number.,Tree,16,= = = Properties = = = 3 is the number and the number
20,"It is a twin prime with 5, and a cousin prime with 7.",Tree,13,It is a prime with 5 and a cousin with 7
21,A triangle is made of three sides.,Tree,7,A triangle is made of three sides
22,It is the smallest non-self-intersecting polygon and the only polygon not to have proper diagonals.,Tree,15,It is the self polygon and the polygon not to have diagonals
23,It is also the first of five known Fermat primes.,Tree,10,It is the first of five Fermat primes
24,"It is the second Fibonacci prime (and the second Lucas prime), the second Sophie Germain prime, and the second factorial prime.",Tree,21,It is the Fibonacci prime and the Lucas prime the Sophie Germain prime and the prime
25,Three is the only prime which is one less than a perfect square.,Tree,13,Three is the prime which is one than a square
26,"This is true for 3 as well (with n {\displaystyle n} = 2), but in this case the smaller factor is 1.",Tree,22,This is true for 3 with n \displaystyle n = 2 but in this case the factor is 1
27,"Early peoples had a word to describe the quantities of one, two, and three, but any quantity beyond was simply denoted as ""Many"".",Tree,23,peoples had a word to describe the quantities of one two and three but any quantity was denoted as Many
28,"=== List of basic calculations === == Engineering == The triangle, a polygon with three edges and three vertices, is the most stable physical shape.",Tree,25,= = = List of calculations = = = = = Engineering = = The triangle a polygon with three edges and three vertices is the shape
29,"For this reason it is widely utilized in construction, engineering and design.",Tree,12,For this reason it is utilized in construction engineering and design
30,"=== Mystical === Three is the symbolic representation for Mu, Augustus Le Plongeon's and James Churchward's lost continent.",Tree,18,= = = Mystical = = = Three is the representation for Mu Augustus Le Plongeon 's and James Churchward 's continent
31,"== Religion and beliefs == Many world religions contain triple deities or concepts of trinity, including the Hindu Trimurti and Tridevi, the Triglav (lit.",Tree,24,= = Religion and beliefs = = world religions contain deities or concepts of trinity including the Hindu Trimurti and Tridevi the Triglav lit
32,"The phrase ""Third time's the charm"" refers to the superstition that after two failures in any endeavor, a third attempt is more likely to succeed.",Tree,25,The phrase time 's the charm refers to the superstition that after two failures in any endeavor a attempt is likely to succeed
33,"However, some superstitions say the opposite, stating that luck, especially bad luck, is often said to ""come in threes"".",Tree,19,some superstitions say the opposite stating that luck luck is said to come in threes
35,Archived from the original on 2013-05-14.,Tree,6,Archived from the original on 2013 - 05 - 14
36,The Number 3 The Positive Integer 3 Prime curiosities: 3,Tree,10,The Number 3 The Positive Integer 3 Prime curiosities 3
37,"A river may run dry before reaching the end of its course if it runs out of water, or only flow during certain seasons.",River,24,A river may run before reaching the end of its course if it runs out of water or flow during seasons
38,"Rivers are regulated by the water cycle, the processes by which water moves around the Earth.",River,16,Rivers are regulated by the water cycle the processes by which water moves around the Earth
39,"Rivers flow in channeled watercourses and merge in confluences to form drainage basins, areas where surface water eventually flows to a common outlet.",River,23,Rivers flow in watercourses and merge in confluences to form drainage basins areas surface water flows to a outlet
40,Rivers have a great effect on the landscape around them.,River,10,Rivers have a effect on the landscape around them
41,"They may regularly overflow their banks and flood the surrounding area, spreading nutrients to the surrounding area.",River,17,They may overflow their banks and flood the area spreading nutrients to the area
42,"Sediment or alluvium carried by rivers shapes the landscape around it, forming deltas and islands where the flow slows down.",River,20,Sediment or alluvium carried by rivers shapes the landscape around it deltas and islands the flow slows down
43,"Rivers rarely run in a straight line, instead, they bend or meander; the locations of a river's banks can change frequently.",River,21,Rivers run in a line they bend or meander the locations of a river 's banks can change
44,"Rivers get their alluvium from erosion, which carves rock into canyons and valleys.",River,13,Rivers get their alluvium from erosion which carves rock into canyons and valleys
45,"Rivers have sustained human and animal life for millennia, including the first human civilizations.",River,14,Rivers have sustained and animal life for millennia including the civilizations
46,"The organisms that live around or in a river such as fish, aquatic plants, and insects have different roles, including processing organic matter and predation.",River,25,The organisms that live around or in a river as fish plants and insects have roles including processing matter and predation
47,"Rivers have produced abundant resources for humans, including food, transportation, drinking water, and recreation.",River,14,Rivers have produced resources for humans including food transportation drinking water and recreation
48,"Humans have engineered rivers to prevent flooding, irrigate crops, perform work with water wheels, and produce hydroelectricity from dams.",River,19,Humans have rivers to prevent flooding irrigate crops perform work with water wheels and produce hydroelectricity from dams
49,"People associate rivers with life and fertility and have strong religious, political, social, and mythological attachments to them.",River,18,People associate rivers with life and fertility and have social and mythological attachments to them
50,"Rivers and river ecosystems are threatened by water pollution, climate change, and human activity.",River,14,Rivers and river ecosystems are threatened by water pollution climate change and activity
51,Decreased snowfall from climate change has resulted in less water available for rivers during the summer.,River,16,snowfall from climate change has resulted in water for rivers during the summer
52,"Regulation of pollution, dam removal, and sewage treatment have helped to improve water quality and restore river habitats.",River,18,Regulation of pollution dam removal and sewage treatment have helped to improve water quality and restore river habitats
53,"This flow can be into a lake, an ocean, or another river.",River,12,This flow can be into a lake an ocean or another river
54,"A stream refers to water that flows in a natural channel, a geographic feature that can contain flowing water.",River,19,A stream refers to water that flows in a channel a feature that can contain water
55,A stream may also be referred to as a watercourse.,River,10,A stream may be referred to as a watercourse
56,"The study of the movement of water as it occurs on Earth is called hydrology, and their effect on the landscape is covered by geomorphology.",River,25,The study of the movement of water as it occurs on Earth is called hydrology and their effect on the landscape is covered by geomorphology
57,"=== Source and drainage basin === Rivers are part of the water cycle, the continuous processes by which water moves about Earth.",River,22,= = = Source and drainage basin = = = Rivers are part of the water cycle the processes by which water moves about Earth
58,This means that all water that flows in rivers must ultimately come from precipitation.,River,14,This means that all water that flows in rivers must come from precipitation
59,"The headwaters of a river are the smaller streams that feed a river, and make up the river's source.",River,19,The headwaters of a river are the streams that feed a river and make up the river 's source
60,These streams may be small and flow rapidly down the sides of mountains.,River,13,These streams may be small and flow down the sides of mountains
61,All of the land uphill of a river that feeds it with water in this way is in that river's drainage basin or watershed.,River,24,All of the land of a river that feeds it with water in this way is in that river 's drainage basin or watershed
62,One example of this is the Continental Divide of the Americas in the Rocky Mountains.,River,15,One example of this is the Continental Divide of the Americas in the Rocky Mountains
63,"Water on the western side of the divide flows into the Pacific Ocean, whereas water on the other side flows into the Atlantic Ocean.",River,24,Water on the side of the divide flows into the Pacific Ocean whereas water on the side flows into the Atlantic Ocean
64,Not all precipitation flows directly into rivers; some water seeps into underground aquifers.,River,13,Not all precipitation flows into rivers some water seeps into aquifers
