sentence_id,word,dependency,head
1,3,nsubj,is
1,(,punct,three
1,three,appos,3
1,),punct,three
1,is,ROOT,is
1,a,det,number
1,number,attr,is
1,",",punct,number
1,numeral,amod,number
1,and,cc,numeral
1,digit,conj,numeral
1,.,punct,is
2,It,nsubj,is
2,is,ROOT,is
2,the,det,number
2,natural,amod,number
2,number,attr,is
2,following,acl,number
2,2,dobj,following
2,and,cc,is
2,preceding,conj,is
2,4,dobj,preceding
2,",",punct,is
2,and,cc,is
2,is,conj,is
2,the,det,number
2,smallest,amod,number
2,odd,amod,number
2,prime,amod,number
2,number,attr,is
2,and,cc,number
2,the,det,prime
2,only,amod,prime
2,prime,conj,number
2,preceding,acl,prime
2,a,det,number
2,square,amod,number
2,number,dobj,preceding
2,.,punct,is
3,It,nsubj,has
3,has,ROOT,has
3,religious,amod,significance
3,and,cc,religious
3,cultural,conj,religious
3,significance,dobj,has
3,in,prep,has
3,many,amod,societies
3,societies,pobj,in
3,.,punct,has
4,That,nsubj,was
4,was,ROOT,was
4,also,advmod,was
4,the,det,representation
4,original,amod,representation
4,representation,attr,was
4,of,prep,representation
4,3,pobj,of
4,in,prep,3
4,the,det,notation
4,Brahmic,nmod,notation
4,(,punct,notation
4,Indian,amod,notation
4,),punct,notation
4,numerical,compound,notation
4,notation,pobj,in
4,",",punct,was
4,its,poss,forms
4,earliest,amod,forms
4,forms,attr,was
4,aligned,acl,forms
4,vertically,advmod,aligned
4,.,punct,was
5,However,advmod,modified
5,",",punct,modified
5,during,prep,modified
5,the,det,Empire
5,Gupta,compound,Empire
5,Empire,pobj,during
5,",",punct,modified
5,the,det,sign
5,sign,nsubjpass,modified
5,was,auxpass,modified
5,modified,ROOT,modified
5,by,agent,modified
5,the,det,addition
5,addition,pobj,by
5,of,prep,addition
5,a,det,curve
5,curve,pobj,of
5,on,prep,curve
5,each,det,line
5,line,pobj,on
5,.,punct,modified
8,The,det,digits
8,Indian,amod,digits
8,digits,nsubj,spread
8,spread,ROOT,spread
8,to,prep,spread
8,the,det,Caliphate
8,Caliphate,pobj,to
8,in,prep,spread
8,the,det,century
8,9th,amod,century
8,century,pobj,in
8,.,punct,spread
10,In,prep,has
10,most,amod,typefaces
10,modern,amod,typefaces
10,Western,amod,typefaces
10,typefaces,pobj,In
10,",",punct,has
10,the,det,digit
10,digit,nsubj,has
10,3,appos,digit
10,",",punct,digit
10,like,prep,digit
10,the,det,digits
10,other,amod,digits
10,decimal,amod,digits
10,digits,pobj,like
10,",",punct,digit
10,has,ROOT,has
10,the,det,height
10,height,dobj,has
10,of,prep,height
10,a,det,letter
10,capital,compound,letter
10,letter,pobj,of
10,",",punct,has
10,and,cc,has
10,sits,conj,has
10,on,prep,sits
10,the,det,baseline
10,baseline,pobj,on
10,.,punct,has
11,In,prep,has
11,typefaces,pobj,In
11,with,prep,typefaces
11,text,compound,figures
11,figures,pobj,with
11,",",punct,has
11,on,prep,has
11,the,det,hand
11,other,amod,hand
11,hand,pobj,on
11,",",punct,has
11,the,det,glyph
11,glyph,nsubj,has
11,usually,advmod,has
11,has,ROOT,has
11,the,det,height
11,height,dobj,has
11,of,prep,height
11,a,det,letter
11,lowercase,compound,letter
11,letter,pobj,of
11,"""",punct,letter
11,x,appos,letter
11,"""",punct,letter
11,and,cc,height
11,a,det,descender
11,descender,conj,height
11,:,punct,descender
11,"""",punct,has
11,"""",punct,has
11,.,punct,has
12,In,prep,has
12,some,det,typefaces
12,French,amod,typefaces
12,text,compound,figure
12,-,punct,figure
12,figure,compound,typefaces
12,typefaces,pobj,In
12,",",punct,has
12,though,advmod,has
12,",",punct,has
12,it,nsubj,has
12,has,ROOT,has
12,an,det,ascender
12,ascender,dobj,has
12,instead,advmod,of
12,of,cc,ascender
12,a,det,descender
12,descender,pobj,of
12,.,punct,has
14,This,det,form
14,form,nsubj,called
14,",",punct,called
14,sometimes,advmod,called
14,called,ROOT,called
14,a,det,banker
14,banker,poss,3
14,'s,case,banker
14,3,oprd,called
14,",",punct,called
14,can,aux,stop
14,stop,conj,called
14,a,det,forger
14,forger,dobj,stop
14,from,prep,stop
14,turning,pcomp,from
14,the,det,3
14,3,dobj,turning
14,into,prep,turning
14,an,det,8
14,8,pobj,into
14,.,punct,called
15,It,nsubjpass,found
15,is,auxpass,found
15,found,ROOT,found
15,on,prep,found
15,UPC,compound,A
15,-,punct,A
15,A,compound,barcodes
15,barcodes,pobj,on
15,and,cc,barcodes
15,standard,amod,decks
15,52,nummod,card
15,-,punct,card
15,card,compound,decks
15,decks,conj,barcodes
15,.,punct,found
16,This,ROOT,This
16,known,acl,This
16,as,prep,known
16,the,det,rule
16,divisibility,compound,rule
16,rule,pobj,as
16,of,prep,rule
16,3,pobj,of
16,.,punct,This
17,Because,prep,is
17,of,pcomp,Because
17,this,pobj,Because
17,",",punct,is
17,the,det,reverse
17,reverse,nsubj,is
17,of,prep,reverse
17,any,det,number
17,number,pobj,of
17,that,nsubj,is
17,is,relcl,number
17,divisible,acomp,is
17,by,prep,is
17,three,pobj,by
17,(,punct,three
17,or,cc,three
17,indeed,conj,three
17,",",punct,is
17,any,det,permutation
17,permutation,nsubj,is
17,of,prep,permutation
17,its,poss,digits
17,digits,pobj,of
17,),punct,permutation
17,is,ROOT,is
17,also,advmod,is
17,divisible,acomp,is
17,by,prep,divisible
17,three,pobj,by
17,.,punct,is
18,This,det,rule
18,divisibility,compound,rule
18,rule,nsubj,works
18,works,ROOT,works
18,in,prep,works
18,any,det,system
18,positional,amod,system
18,numeral,amod,system
18,system,pobj,in
18,whose,poss,base
18,base,nsubj,divided
18,divided,relcl,system
18,by,prep,divided
18,three,nummod,leaves
18,leaves,pobj,by
18,a,det,remainder
18,remainder,dobj,divided
18,of,prep,remainder
18,one,pobj,of
18,(,punct,bases
18,bases,appos,system
18,4,nummod,bases
18,",",punct,bases
18,7,nummod,bases
18,",",punct,bases
18,10,nummod,bases
18,",",punct,bases
18,etc,conj,bases
18,.,conj,bases
18,),punct,works
18,.,punct,works
19,=,nsubj,is
19,=,compound,Properties
19,=,compound,Properties
19,Properties,nsubj,is
19,=,appos,Properties
19,=,conj,Properties
19,=,conj,Properties
19,3,nummod,=
19,is,ROOT,is
19,the,det,number
19,second,amod,number
19,smallest,amod,number
19,prime,amod,number
19,number,attr,is
19,and,cc,number
19,the,det,number
19,first,amod,number
19,odd,amod,number
19,prime,amod,number
19,number,conj,number
19,.,punct,is
20,It,nsubj,is
20,is,ROOT,is
20,a,det,prime
20,twin,amod,prime
20,prime,attr,is
20,with,prep,prime
20,5,pobj,with
20,",",punct,is
20,and,cc,is
20,a,det,cousin
20,cousin,conj,is
20,prime,amod,cousin
20,with,prep,prime
20,7,pobj,with
20,.,punct,is
21,A,det,triangle
21,triangle,nsubjpass,made
21,is,auxpass,made
21,made,ROOT,made
21,of,prep,made
21,three,nummod,sides
21,sides,pobj,of
21,.,punct,made
22,It,nsubj,is
22,is,ROOT,is
22,the,det,polygon
22,smallest,amod,polygon
22,non,amod,polygon
22,-,amod,polygon
22,self,npadvmod,intersecting
22,-,punct,intersecting
22,intersecting,amod,polygon
22,polygon,attr,is
22,and,cc,polygon
22,the,det,polygon
22,only,amod,polygon
22,polygon,conj,polygon
22,not,neg,have
22,to,aux,have
22,have,xcomp,is
22,proper,amod,diagonals
22,diagonals,dobj,have
22,.,punct,is
23,It,nsubj,is
23,is,ROOT,is
23,also,advmod,is
23,the,det,first
23,first,attr,is
23,of,prep,first
23,five,nummod,Fermat
23,known,amod,Fermat
23,Fermat,compound,primes
23,primes,pobj,of
23,.,punct,is
24,It,nsubj,is
24,is,ROOT,is
24,the,det,prime
24,second,amod,prime
24,Fibonacci,compound,prime
24,prime,attr,is
24,(,punct,prime
24,and,cc,prime
24,the,det,prime
24,second,amod,prime
24,Lucas,compound,prime
24,prime,conj,prime
24,),punct,prime
24,",",punct,is
24,the,det,prime
24,second,amod,prime
24,Sophie,compound,Germain
24,Germain,compound,prime
24,prime,conj,is
24,",",punct,is
24,and,cc,is
24,the,det,prime
24,second,amod,prime
24,factorial,amod,prime
24,prime,conj,is
24,.,punct,is
25,Three,nsubj,is
25,is,ROOT,is
25,the,det,prime
25,only,amod,prime
25,prime,attr,is
25,which,nsubj,is
25,is,relcl,prime
25,one,attr,is
25,less,amod,one
25,than,prep,less
25,a,det,square
25,perfect,amod,square
25,square,pobj,than
25,.,punct,is
26,This,nsubj,is
26,is,ROOT,is
26,true,acomp,is
26,for,prep,is
26,3,pobj,for
26,as,advmod,well
26,well,advmod,3
26,(,punct,with
26,with,conj,3
26,n,pobj,with
26,{,punct,\displaystyle
26,\displaystyle,pobj,with
26,n,conj,with
26,},punct,with
26,=,attr,is
26,2,npadvmod,is
26,),punct,is
26,",",punct,is
26,but,cc,is
26,in,prep,is
26,this,det,case
26,case,pobj,in
26,the,det,factor
26,smaller,amod,factor
26,factor,nsubj,is
26,is,conj,is
26,1,attr,is
26,.,punct,is
27,Early,amod,peoples
27,peoples,nsubj,had
27,had,ROOT,had
27,a,det,word
27,word,dobj,had
27,to,aux,describe
27,describe,acl,word
27,the,det,quantities
27,quantities,dobj,describe
27,of,prep,quantities
27,one,pobj,of
27,",",punct,one
27,two,conj,one
27,",",punct,one
27,and,cc,one
27,three,conj,one
27,",",punct,had
27,but,cc,had
27,any,det,quantity
27,quantity,nsubjpass,denoted
27,beyond,advmod,quantity
27,was,auxpass,denoted
27,simply,advmod,denoted
27,denoted,conj,had
27,as,prep,denoted
27,"""",punct,as
27,Many,pobj,as
27,"""",punct,Many
27,.,punct,denoted
28,=,nsubj,is
28,=,compound,List
28,=,compound,List
28,List,appos,=
28,of,prep,List
28,basic,amod,calculations
28,calculations,pobj,of
28,=,punct,=
28,=,dep,=
28,=,dep,=
28,=,conj,=
28,=,compound,Engineering
28,Engineering,appos,=
28,=,nsubj,=
28,=,conj,=
28,The,det,triangle
28,triangle,nsubj,is
28,",",punct,triangle
28,a,det,polygon
28,polygon,appos,triangle
28,with,prep,polygon
28,three,nummod,edges
28,edges,pobj,with
28,and,cc,edges
28,three,nummod,vertices
28,vertices,conj,edges
28,",",punct,triangle
28,is,ROOT,is
28,the,det,shape
28,most,advmod,stable
28,stable,amod,shape
28,physical,amod,shape
28,shape,attr,is
28,.,punct,is
29,For,prep,utilized
29,this,det,reason
29,reason,pobj,For
29,it,nsubjpass,utilized
29,is,auxpass,utilized
29,widely,advmod,utilized
29,utilized,ROOT,utilized
29,in,prep,utilized
29,construction,pobj,in
29,",",punct,construction
29,engineering,conj,construction
29,and,cc,engineering
29,design,conj,engineering
29,.,punct,utilized
30,=,nsubj,is
30,=,nsubj,is
30,=,dep,is
30,Mystical,compound,Three
30,=,compound,Three
30,=,compound,Three
30,=,compound,Three
30,Three,nsubj,is
30,is,ROOT,is
30,the,det,representation
30,symbolic,amod,representation
30,representation,attr,is
30,for,prep,representation
30,Mu,pobj,for
30,",",punct,Mu
30,Augustus,compound,Plongeon
30,Le,compound,Plongeon
30,Plongeon,conj,Mu
30,'s,case,Plongeon
30,and,cc,Plongeon
30,James,compound,Churchward
30,Churchward,poss,continent
30,'s,case,Churchward
30,lost,amod,continent
30,continent,appos,Mu
30,.,punct,is
31,=,nsubj,=
31,=,punct,=
31,Religion,conj,=
31,and,cc,Religion
31,beliefs,conj,Religion
31,=,compound,religions
31,=,nmod,religions
31,Many,amod,religions
31,world,compound,religions
31,religions,nsubj,contain
31,contain,ROOT,contain
31,triple,amod,deities
31,deities,dobj,contain
31,or,cc,deities
31,concepts,conj,deities
31,of,prep,deities
31,trinity,pobj,of
31,",",punct,contain
31,including,prep,deities
31,the,det,Trimurti
31,Hindu,compound,Trimurti
31,Trimurti,pobj,including
31,and,cc,Trimurti
31,Tridevi,conj,Trimurti
31,",",punct,Trimurti
31,the,det,Triglav
31,Triglav,conj,Trimurti
31,(,punct,lit
